,MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN,HIGH,LOW,CMP,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK,ForDate
1063,N,EQ,PATELENG,PATEL ENGINEERING LTD.,        15.05,        14.90,        15.30,        14.80,        14.85,                 13746665.05,916259,N, ,1490,        22.00,         7.80,2021-01-08
1064,N,EQ,PATINTLOG,PATEL INT. LOG. LTD,        33.95,        34.40,        35.20,        33.10,        33.50,                  4739913.00,139793,N, ,1217,        36.10,         8.80,2021-01-08
1065,N,EQ,PCJEWELLER,PC JEWELLER LTD,        29.40,        29.00,        29.40,        28.10,        28.25,                132882213.75,4653198,N, ,9582,        30.55,         7.75,2021-01-08
1066,N,EQ,PDMJEPAPER,PUDUMJEE PAPER PRO. LTD,        22.85,        22.85,        23.40,        22.40,        22.65,                  2965236.15,130495,N, ,480,        24.80,         9.55,2021-01-08
1067,N,EQ,PDSMFL,PDS MULTINATIONAL FAS LTD,       525.45,       526.00,       537.00,       524.75,       534.90,                  4132454.35,7779,N, ,256,       537.00,       218.95,2021-01-08
1068,N,EQ,PEARLPOLY,PEARL POLYMERS LTD,        19.95,        19.70,        19.90,        19.50,        19.50,                   158319.95,8090,N, ,47,        21.60,         5.15,2021-01-08
1069,N,EQ,PENIND,PENNAR INDUSTRIES LTD,        24.05,        24.50,        24.70,        23.60,        23.90,                  9392640.20,390205,N, ,1111,        29.85,        11.40,2021-01-08
1070,N,EQ,PENINLAND,PENINSULA LAND LIMITED,         7.00,         7.15,         7.35,         6.75,         7.35,                  4542373.20,627938,N, ,879,         7.65,         2.25,2021-01-08
1071,N,EQ,PERSISTENT,PERSISTENT SYSTEMS LTD,      1520.20,      1533.00,      1580.00,      1525.20,      1570.90,                298015208.45,190956,N, ,12168,      1599.00,       420.05,2021-01-08
1072,N,EQ,PFIZER,PFIZER LTD,      5133.95,      5163.40,      5320.00,      5115.00,      5130.00,               1005938811.50,193076,N, ,23937,      5900.00,      3461.00,2021-01-08
1073,N,EQ,PFOCUS,PRIME FOCUS LIMITED,        49.90,        50.50,        50.90,        48.65,        49.10,                  5047131.20,101615,N, ,754,        58.95,        17.00,2021-01-08
1074,N,EQ,PFS,PTC INDIA FIN SERV LTD,        20.20,        20.40,        21.40,        20.25,        20.95,                 64373777.55,3067111,N, ,5176,        24.25,         6.70,2021-01-08
1075,N,EQ,PGEL,PG ELECTROPLAST LTD,       145.65,       149.00,       152.90,       141.00,       152.75,                 10743534.70,71784,N, ,1173,       171.95,        24.70,2021-01-08
1076,N,EQ,PGHL,PROCTER & GAMBLE HEALTH L,      6881.25,      6910.55,      6969.00,      6899.15,      6954.60,                 53663480.95,7727,N, ,3682,      7350.00,      2891.45,2021-01-08
1077,N,EQ,PGIL,PEARL GLOBAL IND LIMITED,       193.25,       198.70,       200.55,       191.10,       192.00,                  2284780.80,11629,N, ,388,       204.85,        82.05,2021-01-08
1078,N,EQ,PHILIPCARB,PHILIPS CARBON BLACK LTD,       172.10,       173.80,       176.30,       172.95,       173.85,                163995885.50,940181,N, ,14844,       182.70,        54.10,2021-01-08
1079,N,EQ,PHOENIXLTD,THE PHOENIX MILLS LTD,       753.10,       762.50,       819.50,       755.00,       790.60,                573052598.50,718377,N, ,46053,       979.00,       465.05,2021-01-08
1080,N,EQ,PIIND,PI INDUSTRIES LTD,      2187.60,      2197.00,      2359.00,      2192.85,      2339.65,               1909609755.10,831643,N, ,80357,      2650.00,       970.10,2021-01-08
